Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1744:180
Coefficients for 360 degrees 
  Beginning: CT1743:000  1984:01:08_17h:07m:58s. 
  Centered:  CT1744:180  1984:01:22_08h:26m:09s. 
  End time:  CT1744:005  1984:02:04_14h:38m:50s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
 20   3      40.33      37.15
 20   4      23.90       5.09
 20   5      17.38      13.83
 20   6     -11.68      -2.82
 20   7      23.80      -3.21
 20   8      -8.40      -4.73
 20   9      -1.19     -45.51
 20  10       6.97     -10.56
 20  11      34.71     -17.65
 20  12       3.50       5.21
 20  13      10.03      44.43
 20  14     -16.30       6.15
 20  15       3.73      37.98
 20  16     -39.82      20.55
 20  17      18.48     -26.79
 20  18     -55.64      62.36
 20  19     -14.09     -88.00
 20  20      71.07      21.15
 21   0      65.35       0.00
 21   1     -40.21     -49.62
 21   2     -13.71      -6.10
 21   3      -1.82      19.91
 21   4       5.47      -5.93
 21   5      29.07       3.12
 21   6      13.33      26.74
 21   7      -6.54      15.49
 21   8     -29.35      45.77
 21   9      14.67      26.61
 21  10     -46.56      10.61
 21  11       9.31       6.54
 21  12     -40.66      28.06
 21  13      -1.79       1.04
 21  14     -24.71      -1.89
 21  15       8.84     -29.03
 21  16     -37.26      43.72
 21  17      54.47     -57.60
 21  18      29.59      10.08
 21  19      67.17     -86.25
 21  20     142.44     141.85
 21  21    -136.72     126.54
 22   0      12.27       0.00
 22   1     -19.15     -32.72
 22   2     -19.12      -2.44
 22   3      -0.33       3.17
 22   4      32.65      33.09
 22   5     -17.48     -22.66
 22   6      35.63      26.11
 22   7      -5.79       7.64
 22   8      15.60      -4.32
 22   9      -2.70       5.88
 22  10       6.27      13.51
 22  11     -29.29      21.75
 22  12     -11.76      -9.24
 22  13      -8.90     -31.67
 22  14      -0.78       2.62
 22  15     -10.25     -36.43
 22  16       9.06      -4.82
 22  17     -51.09     -28.61
 22  18      32.62     -39.55
 22  19     -47.14      -2.32
 22  20      45.23     -50.99
 22  21      10.11      39.32
 22  22     -25.93     -44.14
 23   0    -146.32       0.00
 23   1     -12.01     -60.65
 23   2     -39.69      -2.66
 23   3      30.52      23.26
 23   4      34.48       0.35
 23   5      16.75      -4.77
 23   6      10.60      -2.54
 23   7      10.24      -2.43
 23   8      22.87     -15.18
 23   9     -21.99     -23.73
 23  10      20.01      -6.55
 23  11     -21.43     -31.38
 23  12       3.07     -28.49
 23  13       5.33     -33.22
 23  14      14.34      -5.38
 23  15       7.05      -8.17
 23  16      48.28     -25.43
 23  17     -11.23      12.73
 23  18      52.06      10.08
 23  19     -59.29      61.21
 23  20     -26.15     -37.45
 23  21     -76.27      64.31
 23  22     -95.32    -128.41
 23  23     148.97     -72.70
 24   0      36.39       0.00
 24   1     -17.49      -9.08
 24   2      -3.82      23.41
 24   3      14.88      17.67
 24   4      28.32       1.04
 24   5      19.42      19.90
 24   6      -0.07       5.15
 24   7      -6.58      11.81
 24   8      -8.89       7.88
 24   9      -2.30      -6.30
 24  10     -12.01     -15.52
 24  11      28.94     -19.20
 24  12      11.67       7.77
 24  13       7.87      26.71
 24  14      22.93       2.25
 24  15      11.22      22.22
 24  16      16.73       0.44
 24  17      54.69      29.82
 24  18       6.06      21.76
 24  19      65.76      24.19
 24  20     -29.76      27.83
 24  21      29.25      -1.17
 24  22      -7.52       9.02
 24  23      39.12      23.65
 24  24      33.39      43.80
 25   0    -401.84       0.00
 25   1     -20.75     -33.61
 25   2     -73.53     -12.51
 25   3     -14.10       2.80
 25   4       7.88      17.48
 25   5      24.37      -6.16
 25   6      36.73      16.92
 25   7       1.03      16.78
 25   8      -4.82       8.93
 25   9      13.98      21.65
 25  10      -6.88       8.38
 25  11      14.01      28.62
 25  12       7.52       8.92
 25  13       4.56      18.74
 25  14      -5.21       7.91
 25  15     -14.74      24.85
 25  16     -22.90      20.93
 25  17     -16.35      18.72
 25  18     -52.74     -28.43
 25  19      12.34      -5.50
 25  20     -22.45     -14.12
 25  21      50.44     -39.97
 25  22      17.68      15.85
 25  23      53.09     -73.25
 25  24      29.97     126.38
 25  25     -69.64      18.19
 26   0      72.06       0.00
 26   1     -11.22     -23.58
 26   2     -38.17      30.21
 26   3      -7.85     -13.84
 26   4      29.32      18.71
 26   5      -5.65     -16.91
 26   6      20.36      22.47
 26   7      12.81       0.30
 26   8       6.00      -5.76
 26   9      -2.50     -20.35
 26  10      12.51       5.72
 26  11     -23.06       9.79
 26  12     -13.49      -1.45
 26  13      -4.15      -9.58
 26  14     -14.74       9.73
 26  15     -14.98       2.56
 26  16     -19.48       3.88
 26  17     -33.56      -9.19
 26  18     -19.78       5.51
 26  19     -62.15     -21.34
 26  20      -3.39     -13.69
 26  21     -35.41     -13.98
 26  22       7.13       8.23
 26  23      -3.26      27.15
 26  24     -35.30       2.16
 26  25     -68.25     -11.41
 26  26      10.64     -61.96
 27   0    -592.86       0.00
 27   1       5.43      -5.48
 27   2     -72.78     -15.24
 27   3      -7.66     -22.89
 27   4      21.24      -3.33
 27   5      32.20      -2.48
 27   6      21.67      13.76
 27   7       0.93       5.14
 27   8       9.99       5.28
 27   9      -7.84      -3.09
 27  10      -5.51      -0.65
 27  11      -6.56     -14.84
 27  12     -26.86     -10.70
 27  13      -6.19     -14.10
 27  14     -14.70     -20.20
 27  15      -3.16     -21.31
 27  16      -9.48     -17.60
 27  17      31.23     -24.70
 27  18      17.25      10.26
 27  19      19.71     -23.41
 27  20      14.64      11.87
 27  21       9.22     -15.00
 27  22       5.18      15.24
 27  23     -21.68      27.93
 27  24       4.28     -17.54
 27  25     -38.97      16.31
 27  26      -9.88     -42.88
 27  27      32.42       3.19
 28   0      87.13       0.00
 28   1       0.90       3.55
 28   2     -23.35      28.40
 28   3     -24.26     -23.56
 28   4      13.14       3.44
 28   5       6.79       6.47
 28   6      24.65      21.40
 28   7      -6.07      15.02
 28   8       1.80       2.49
 28   9       0.08       0.01
 28  10      -4.90      -3.02
 28  11      14.53      -8.03
 28  12       6.90       0.55
 28  13       4.44       3.59
 28  14       9.37      -4.86
 28  15       9.84     -10.24
 28  16      16.74     -14.95
 28  17      16.60     -19.93
 28  18      22.22     -11.39
 28  19      39.44      -5.17
 28  20      15.55       5.64
 28  21      26.34       1.67
 28  22       7.67       5.23
 28  23     -10.85     -39.40
 28  24      14.57      -3.30
 28  25      10.36     -31.45
 28  26      27.91      -4.20
 28  27      40.90      39.39
 28  28     -21.25      22.96
 29   0    -623.47       0.00
 29   1      19.06      38.36
 29   2     -74.20     -15.83
 29   3     -30.15     -44.00
 29   4       1.82       6.97
 29   5      25.76      -7.73
 29   6      42.54      18.40
 29   7       5.89      15.84
 29   8       2.85       4.85
 29   9      -0.01       3.71
 29  10       3.33       3.07
 29  11      -0.27       7.90
 29  12      12.15      -3.24
 29  13       9.78      -3.66
 29  14       9.52      18.11
 29  15      -2.90       5.96
 29  16      20.42      23.81
 29  17     -17.65      23.89
 29  18      13.61       1.24
 29  19     -25.38      31.87
 29  20       5.87      -2.05
 29  21     -37.10      36.90
 29  22      -8.48     -10.69
 29  23     -11.48       5.65
 29  24     -12.71     -22.09
 29  25      14.29       2.92
 29  26       3.99      -1.15
 29  27       8.22      11.32
 29  28      -1.54      31.78
 29  29     -18.51      -9.73
